id,host_id,neighbourhood_group,neighbourhood,room_type,latitude,longitude,price,price_capped,price_log10,minimum_nights,minimum_nights_capped,number_of_reviews,number_of_reviews_ltm,reviews_per_month,calculated_host_listings_count,availability_365,last_review,license
564129931108385377,445053551,Isole,Castello,Private room,45.431713,12.353058,340.0,340.0,2.531478917042255,1,1,1,1,0.1,7,80,2024-11-17,IT027042B43F2JQKZY
564136748275034829,1784414,Terraferma,San Lorenzo XXV Aprile,Private room,45.4926,12.23979,100.0,100.0,2.0,1,1,17,2,0.41,6,342,2025-06-19,IT027042B44GPMYTB6
564187290427143686,445479018,Isole,Castello,Entire home/apt,45.43591,12.34695,180.0,180.0,2.255272505103306,3,3,88,11,2.21,1,317,2025-09-07,IT027042C2923HR4VZ
564280371075694039,445053551,Isole,Castello,Private room,45.431713,12.353058,369.0,369.0,2.56702636615906,1,1,4,1,0.1,7,86,2025-07-08,IT027042B43F2JQKZY
564396395753747272,44274762,Isole,Cannaregio,Entire home/apt,45.44494,12.32793,234.0,234.0,2.369215857410143,2,2,20,5,0.48,5,283,2025-08-19,IT027042B48AO48PGR
564500696300325573,98667453,Isole,Dorsoduro,Private room,45.43186,12.32774,519.0,519.0,2.7151673578484576,2,2,20,2,0.47,7,11,2025-06-21,IT027042A17VIIY974
565041623714487215,445659395,Isole,Santa Croce,Entire home/apt,45.44164,12.32851,126.0,126.0,2.100370545117563,3,3,131,33,3.2,3,226,2025-08-25,IT027042C29ZRKGFUY
565086877104485143,44274762,Isole,Castello,Entire home/apt,45.43287,12.35522,195.0,195.0,2.290034611362518,2,2,19,0,0.46,5,207,2024-06-24,IT027042B4HE64B6D2
565197103765306530,98667453,Isole,Dorsoduro,Private room,45.43187,12.32794,514.0,514.0,2.710963118995276,2,2,11,1,0.26,7,12,2025-08-23,IT027042A17VIIY974
565848006097034230,443053107,Terraferma,Piave 1860,Private room,45.48266,12.23635,84.0,84.0,1.9242792860618816,1,1,15,0,0.35,6,365,2023-07-29,IT027042B4P8BLB3BQ
565850840531992229,443053107,Terraferma,Piave 1860,Private room,45.482189,12.235213,79.0,79.0,1.8976270912904414,1,1,11,1,0.27,6,365,2024-10-12,IT027042B4P8BLB3BQ
565851037572193271,98667453,Isole,Dorsoduro,Private room,45.43005,12.32992,999.0,999.0,2.9995654882259823,2,2,10,0,0.26,7,11,2023-07-27,IT027042A17VIIY974
565940901136384156,443053107,Terraferma,Piave 1860,Private room,45.482189,12.235213,87.0,87.0,1.9395192526186185,1,1,9,0,0.21,6,362,2023-08-02,IT027042B4P8BLB3BQ
565976919449572809,443053107,Terraferma,Piave 1860,Private room,45.482235,12.23502,73.0,73.0,1.863322860120456,1,1,6,0,0.14,6,365,2023-06-04,IT027042B4P8BLB3BQ
566312330986630628,72445649,Isole,Dorsoduro,Entire home/apt,45.434788,12.317069,180.0,180.0,2.255272505103306,3,3,101,37,2.49,18,239,2025-08-19,IT027042C2PSZR3R3K
566661455410636978,72445649,Isole,Castello,Entire home/apt,45.43199157714844,12.350993156433104,249.0,249.0,2.3961993470957363,3,3,3,0,0.12,18,247,2024-06-14,IT027042C26DAFZLQ7
